lat,lon,speed,temperature
-37.846118,145.118287,74.14,23.24
-37.847903,145.116940,2.56,18.99
-37.845254,145.110000,26.13,20.47
-37.850943,145.110613,92.20,18.67
-37.848893,145.116650,33.57,14.38
-37.852443,145.116804,10.84,22.88
-37.847788,145.114123,38.35,19.27
-37.849441,145.119167,14.07,12.87
-37.850655,145.114920,13.60,20.53
-37.848328,145.116512,3.67,18.81
-37.851790,145.120000,38.27,18.19
-37.848410,145.110227,38.54,19.83
-37.849383,145.114056,94.69,11.83
-37.845000,145.120000,4.44,14.53
-37.854273,145.120000,70.23,16.87
-37.853786,145.110000,22.18,21.85
-37.849648,145.110424,92.48,24.90
-37.845988,145.115292,48.28,17.74
,,,
-37.855000,145.110184,6.38,20.56
-37.845000,145.118482,98.69,22.54
-37.855000,145.120000,81.61,19.44
-37.850873,145.110156,16.00,19.98
-37.845000,145.118170,23.64,11.49
,,,
-37.845000,145.116665,37.09,24.18
-37.846102,145.116050,73.20,16.93
-37.849693,145.111160,92.75,22.31
-37.855000,145.113614,1.93,10.45
-37.855000,145.116140,64.30,21.01
-37.847575,145.120000,73.43,10.29
-37.855000,145.116453,90.99,10.83
-37.850271,145.110000,21.78,11.56
-37.854060,145.112433,89.40,17.92
-37.845000,145.120000,25.93,12.64
,,,
-37.846259,145.111083,99.42,19.61
-37.845000,145.120000,99.44,11.89
-37.850036,145.118411,55.01,17.49
-37.853198,145.113280,79.79,17.74
-37.855000,145.110238,42.00,14.93
-37.848851,145.115421,84.12,22.67
-37.845000,145.120000,73.21,18.67
-37.845000,145.113493,99.66,24.45
-37.851093,145.110000,30.09,23.93
-37.851395,145.118611,33.52,23.38
-37.854277,145.119684,44.72,21.82
-37.853182,145.111421,43.65,13.45
-37.845000,145.119527,7.78,22.59
-37.845000,145.120000,91.31,16.79
-37.845000,145.115852,72.28,15.00
-37.847713,145.114730,69.97,17.02
-37.845000,145.120000,82.97,23.35
-37.845000,145.119351,37.19,12.93
-37.848966,145.110000,11.59,22.73
-37.855000,145.117852,6.90,11.96
-37.845000,145.117638,59.80,11.69
-37.845000,145.120000,2.21,24.17
-37.845000,145.112725,7.90,10.63
-37.845105,145.114395,22.92,11.84
-37.852290,145.115034,92.01,11.51
-37.845000,145.114187,91.44,10.75
-37.845000,145.120000,71.02,20.73
-37.848753,145.116189,45.28,18.32
-37.848719,145.112312,26.28,20.11
-37.846149,145.118746,80.49,20.27
-37.845000,145.120000,91.97,15.61
-37.845000,145.120000,49.22,13.50
-37.850019,145.119011,95.34,20.48
-37.845672,145.115863,84.43,22.22
-37.845602,145.118830,84.86,11.41
-37.845000,145.119181,5.82,17.19
-37.850689,145.120000,75.32,23.31
-37.850536,145.118038,80.26,10.76
-37.845000,145.120000,86.00,15.31
-37.849065,145.120000,77.87,23.81
-37.853269,145.119782,6.51,10.76
-37.845000,145.120000,44.25,24.78
-37.852045,145.120000,35.62,16.54
-37.848563,145.120000,61.94,16.46
-37.848955,145.120000,50.47,11.03
-37.852924,145.118741,56.14,13.02
-37.853342,145.115117,68.43,13.66
-37.855000,145.116404,52.54,17.21
-37.846293,145.119400,28.55,22.84
-37.849136,145.120000,36.57,24.71
-37.854194,145.113359,30.04,18.15
-37.854757,145.119809,84.06,13.12
-37.845000,145.120000,22.27,23.01
-37.845485,145.120000,29.04,22.32
-37.852430,145.114884,18.31,24.85
-37.845000,145.116280,63.91,24.67
-37.855000,145.115685,94.65,20.17
-37.850518,145.120000,43.55,20.25
-37.845276,145.120000,6.64,20.27
-37.855000,145.112806,76.30,13.26
,,,
-37.855000,145.120000,18.36,12.63
-37.845000,145.117957,49.76,11.75
-37.854775,145.120000,14.19,24.56
-37.845995,145.120000,4.44,17.63
-37.855000,145.114059,20.15,17.40
-37.850011,145.119275,58.98,11.08
-37.846084,145.117613,41.18,20.92
-37.855000,145.115839,26.14,21.19
-37.855000,145.118368,46.77,18.94
-37.845000,145.113239,94.60,15.26
-37.849643,145.118296,51.29,17.93
-37.855000,145.118316,17.44,11.49
-37.848207,145.119312,26.79,20.19
-37.845000,145.116592,36.79,19.97
-37.855000,145.114988,49.01,13.67
-37.854496,145.118860,47.07,14.91
-37.849215,145.117921,79.34,16.85
-37.855000,145.115630,58.63,17.14
-37.845000,145.115516,49.27,12.22
-37.847306,145.120000,27.08,18.06
-37.852479,145.117591,88.24,12.90
-37.849911,145.120000,75.26,14.17
-37.851904,145.115357,1.41,18.84
-37.846238,145.116762,61.79,22.49
-37.845000,145.118319,42.91,11.86
-37.850714,145.113173,10.44,19.80
-37.845000,145.120000,52.09,17.87
-37.848390,145.116094,26.37,24.86
-37.847176,145.118363,96.53,15.33
-37.852245,145.120000,87.97,24.51
-37.846323,145.120000,69.63,19.24
-37.852413,145.120000,79.88,12.06
-37.848783,145.120000,2.68,19.58
-37.847086,145.113430,63.34,10.78
-37.846986,145.118412,17.78,16.85
-37.850967,145.111913,39.83,19.31
-37.855000,145.120000,32.42,10.86
-37.847348,145.120000,10.11,13.27
-37.845000,145.116721,90.41,14.45
-37.845000,145.120000,24.09,17.92
-37.846342,145.110000,18.50,16.64
-37.845000,145.113269,56.94,23.24
-37.855000,145.117021,51.38,15.70
-37.845000,145.120000,52.80,17.86
-37.845000,145.120000,15.86,10.17
,,,
-37.848661,145.116088,3.46,22.97
-37.854173,145.111627,68.11,11.26
-37.850773,145.117065,71.58,13.79
-37.850414,145.115522,55.54,22.97
-37.849238,145.116780,38.47,13.17
-37.847172,145.115010,39.58,16.00
-37.855000,145.110000,85.86,10.25
-37.849427,145.118788,44.25,10.67
-37.854550,145.120000,18.90,23.17
-37.853618,145.115335,15.24,16.89
-37.855000,145.110509,90.64,11.16
-37.850370,145.118533,55.26,24.72
-37.845000,145.117468,86.50,13.32
-37.849237,145.119327,99.95,11.63
-37.855000,145.117951,1.39,21.16
-37.848719,145.115434,94.58,15.92
-37.853531,145.115304,22.89,22.30
-37.847604,145.115730,67.42,21.84
-37.853776,145.110741,41.33,22.52
-37.849395,145.118665,48.72,15.85
-37.855000,145.116185,22.43,18.18
-37.846313,145.118380,35.62,14.44
-37.849248,145.110000,1.84,23.92
-37.845845,145.112281,36.50,18.19
-37.853874,145.120000,23.20,11.54
-37.846968,145.114622,40.56,10.95
-37.845000,145.116915,25.44,11.20
-37.848067,145.111827,0.86,12.84
-37.855000,145.120000,47.09,10.80
-37.854194,145.116341,92.51,24.12
-37.849334,145.114069,5.86,12.40
-37.848777,145.115646,77.24,11.88
-37.851704,145.120000,22.84,19.52
-37.845191,145.114354,0.87,23.30
-37.855000,145.113895,56.16,22.18
-37.850405,145.111957,91.02,22.15
-37.851855,145.119405,77.77,14.39
-37.850841,145.115196,31.57,12.97
-37.846553,145.111872,94.48,23.55
-37.845000,145.113323,24.58,20.93
-37.848137,145.113127,40.77,22.48
-37.845000,145.112515,67.43,20.85
-37.846433,145.112158,7.34,15.34
-37.851888,145.120000,25.16,12.57
-37.845688,145.115952,86.49,13.87
-37.853256,145.114812,19.99,15.25
-37.848707,145.114638,39.48,13.24
-37.848820,145.117486,15.35,12.73
-37.850156,145.111791,2.25,19.82
-37.846975,145.116663,38.60,16.65
-37.853598,145.111655,54.41,10.53
-37.849722,145.111859,91.13,14.92
-37.853472,145.110686,9.06,20.85
-37.849948,145.119372,9.76,17.03
-37.848574,145.117525,15.16,19.94
-37.849682,145.110000,78.28,11.99
-37.853654,145.113774,13.55,10.30
-37.852609,145.120000,13.72,10.12
-37.852227,145.110000,93.54,24.47
-37.847470,145.113884,72.61,20.17
-37.847849,145.113661,73.62,20.47
-37.850472,145.117045,87.80,23.80
-37.855000,145.116267,56.14,11.43
-37.846981,145.110463,9.21,23.01
-37.853560,145.110000,59.38,23.82
-37.847256,145.113761,85.91,17.95
-37.851024,145.120000,11.07,15.62
-37.846209,145.110000,35.78,11.41
-37.850612,145.114858,5.45,18.35
-37.853513,145.112483,97.73,20.04
-37.855000,145.110290,82.74,20.21
-37.849178,145.116115,84.94,10.64
-37.847099,145.110000,27.04,20.31
-37.854022,145.118736,88.01,18.75
-37.845559,145.113616,98.36,20.34
-37.846937,145.113141,73.14,18.60
-37.847155,145.110426,80.36,12.64
-37.845483,145.117829,59.02,23.79
-37.851272,145.115280,13.35,22.07
-37.852240,145.113092,29.45,17.25
-37.851437,145.118028,75.69,15.75
-37.848437,145.114867,50.09,22.98
-37.846922,145.115112,45.25,12.99
-37.851006,145.111780,80.70,17.85
-37.845000,145.116426,53.07,14.31
-37.847928,145.117084,15.94,21.34
-37.845000,145.113057,49.02,12.24
-37.855000,145.110000,78.66,11.63
-37.851515,145.113494,86.45,23.07
-37.845330,145.112781,55.92,17.94
-37.845195,145.116541,91.18,13.89
-37.851238,145.113008,7.68,23.21
-37.853214,145.112720,2.38,10.82
-37.849296,145.110000,48.06,14.45
-37.845000,145.113278,36.98,15.65
-37.845512,145.110000,35.84,15.32
-37.848264,145.111830,90.82,10.04
-37.845703,145.111044,80.49,16.02
-37.849567,145.110000,98.69,20.54
-37.853072,145.113751,63.39,12.52
-37.845000,145.110261,79.48,23.64
-37.849829,145.110044,83.85,22.14
-37.845000,145.110000,96.71,19.37
-37.855000,145.111160,59.69,12.27
-37.846333,145.111444,4.19,20.53
-37.854250,145.112065,48.30,17.62
-37.845000,145.111557,59.45,22.46
-37.848096,145.110000,93.14,24.20
-37.850020,145.112679,73.37,24.24
-37.852132,145.110371,98.98,21.38
-37.853545,145.116706,5.02,14.88
-37.845000,145.112603,28.86,16.59
-37.850498,145.112170,39.76,12.70
-37.850947,145.112310,21.01,13.55
-37.849363,145.110000,95.11,10.01
-37.849825,145.116269,46.32,11.30
-37.852663,145.110329,32.45,10.24
-37.853091,145.117629,33.90,14.52
-37.849681,145.117510,66.67,19.79
-37.854428,145.119284,65.44,12.95
-37.851784,145.120000,36.01,14.74
-37.855000,145.110000,52.50,16.55
-37.848998,145.120000,31.28,21.36
-37.847709,145.119305,82.32,23.82
-37.846011,145.117363,71.92,14.57
-37.845365,145.118090,18.07,14.60
-37.853804,145.120000,49.98,16.05
-37.845000,145.114484,35.78,22.74
-37.850447,145.117941,64.01,20.40
-37.855000,145.110000,99.16,14.72
-37.854381,145.118984,63.41,24.33
-37.853938,145.114396,60.13,11.17
-37.852656,145.117627,45.38,18.20
-37.851236,145.115996,66.79,10.33
-37.848991,145.118421,11.16,10.12
-37.850051,145.116524,43.70,13.86
-37.854834,145.111534,78.42,13.81
-37.847856,145.119463,19.46,10.39
-37.848223,145.112022,61.18,15.26
-37.846291,145.110819,97.02,12.14
-37.853348,145.119673,61.79,23.85
-37.851281,145.115544,75.41,20.88
-37.847565,145.120000,21.52,13.11
-37.850572,145.113313,63.82,14.33
-37.855000,145.110034,90.00,20.97
-37.853091,145.115061,3.88,13.53
-37.846355,145.120000,52.41,21.96
-37.855000,145.115114,89.65,21.03
-37.851558,145.110000,4.22,23.20
-37.851586,145.117098,96.08,13.25
-37.854371,145.112628,90.24,20.29
-37.855000,145.119339,80.26,23.16
-37.852750,145.120000,96.02,15.13
-37.849114,145.117771,14.24,22.87
-37.855000,145.112739,7.41,16.70
-37.849207,145.111898,62.85,10.69
-37.847263,145.113520,23.85,21.98
-37.848235,145.113773,42.82,18.23
-37.847778,145.115836,69.61,24.73
-37.854375,145.112666,43.18,19.20
-37.847360,145.115569,20.35,15.95
-37.845000,145.110000,45.36,18.63
-37.845392,145.113363,72.51,18.10
-37.845000,145.115316,14.13,10.89
-37.855000,145.117551,59.60,21.62
-37.850675,145.113429,53.64,13.81
-37.852471,145.117648,35.27,18.99
-37.849640,145.113452,45.59,23.94
-37.851176,145.112651,48.31,20.02
-37.845992,145.116974,6.58,19.92
-37.850543,145.117018,34.98,13.36
-37.849727,145.113488,48.01,17.59
-37.855000,145.120000,71.54,21.73
-37.848215,145.116789,96.51,19.69
-37.845000,145.117747,39.55,13.60
-37.854130,145.111525,97.79,20.16
-37.849726,145.111785,47.42,15.74
-37.850768,145.110187,8.76,17.37
-37.852202,145.111813,61.32,10.53
-37.846019,145.112544,49.37,13.89
-37.849193,145.110000,20.79,24.38
-37.855000,145.112760,15.44,13.23
-37.853424,145.110000,86.77,22.53
-37.850724,145.110000,90.68,10.42
-37.853599,145.116414,2.97,13.05
-37.852760,145.110000,37.44,22.24
-37.848806,145.110000,13.83,22.08
-37.855000,145.114789,43.26,23.06
-37.852905,145.113500,8.81,14.18
-37.846975,145.110000,33.60,10.34
-37.850637,145.115819,65.57,23.41
-37.845752,145.110901,61.82,24.35
-37.853175,145.110000,97.99,15.63
-37.851178,145.110645,71.58,22.30
-37.851119,145.111926,52.74,14.57
-37.848223,145.112058,71.74,21.99
-37.849955,145.110791,21.57,17.34
-37.849006,145.115757,41.85,19.12
-37.847063,145.114887,70.60,11.72
-37.852471,145.115977,59.36,22.64
-37.852885,145.110000,44.92,22.65
-37.845455,145.110063,45.07,15.80
-37.854216,145.120000,68.33,13.53
-37.845904,145.114477,39.29,14.69
-37.846539,145.110102,95.59,17.87
-37.845000,145.112173,23.25,14.33
-37.852355,145.114309,80.42,16.60
-37.850626,145.114800,26.18,23.19
-37.845000,145.113401,23.65,24.99
-37.852770,145.120000,85.80,15.23
-37.852046,145.113071,48.49,12.44
-37.846802,145.110000,95.77,11.69
-37.850035,145.110000,95.01,24.00
-37.854373,145.113515,68.46,11.81
-37.845000,145.112645,5.96,21.07
-37.845000,145.110917,13.91,18.11
-37.847778,145.115857,2.93,22.87
-37.853708,145.113059,99.55,24.76
-37.855000,145.118230,42.77,11.74
-37.849866,145.111179,91.79,15.34
-37.853585,145.113791,28.98,24.71
-37.850920,145.118310,50.02,14.25
-37.855000,145.114690,93.55,11.25
-37.855000,145.111812,41.74,20.95
-37.846951,145.110000,71.05,20.11
-37.854132,145.114598,38.07,23.22
-37.852524,145.119427,78.69,15.81
-37.851688,145.110859,43.92,21.29
-37.852773,145.112114,74.64,21.19
-37.848583,145.119858,71.85,22.74
-37.851651,145.116727,73.51,24.92
-37.851906,145.120000,39.78,18.09
-37.849294,145.110000,6.96,23.56
-37.852878,145.118209,40.56,14.21
-37.851287,145.110000,48.59,14.43
-37.849843,145.114091,48.37,17.04
-37.848630,145.114442,48.90,13.38
-37.852196,145.118532,63.01,19.32
-37.847921,145.115192,14.31,12.43
-37.845990,145.110363,74.47,10.93
-37.846840,145.111360,95.63,24.03
-37.851503,145.110917,6.90,12.18
-37.849582,145.110000,52.03,11.64
-37.850799,145.116004,39.51,21.28
-37.850018,145.120000,32.94,13.10
-37.847922,145.118047,63.21,20.31
-37.854554,145.110000,56.43,15.62
-37.846173,145.114790,95.06,20.60
-37.848409,145.112781,30.61,20.39
-37.850688,145.110000,90.28,22.23
-37.855000,145.110000,89.29,13.90
-37.852775,145.116582,28.62,22.21
-37.846159,145.117802,4.35,20.29
-37.849530,145.111885,58.84,20.80
-37.845000,145.112430,67.77,17.70
-37.854299,145.115270,3.34,19.60
-37.846048,145.112817,31.90,15.50
-37.850952,145.115723,23.92,21.65
-37.850851,145.113542,90.99,17.96
-37.850603,145.115484,12.25,20.22
-37.849802,145.110000,78.25,23.72
-37.848514,145.115822,40.02,21.99
-37.855000,145.112256,92.46,23.28
-37.849731,145.116779,87.73,14.73
-37.845131,145.112106,92.85,20.93
-37.851461,145.110000,14.41,21.27
-37.848208,145.110000,37.31,19.14
-37.849944,145.110000,66.71,17.71
-37.851977,145.118531,41.47,15.25
-37.846579,145.120000,8.24,22.26
-37.847910,145.120000,12.07,23.57
-37.851967,145.112024,95.35,13.33
-37.849519,145.110000,3.76,18.34
-37.847754,145.110000,57.77,24.33
-37.846978,145.120000,72.02,18.05
-37.847177,145.110000,71.13,22.37
-37.851282,145.119791,53.10,14.63
-37.846984,145.110000,61.32,21.06
-37.847812,145.120000,31.54,16.06
-37.851497,145.112388,23.51,13.77
-37.845000,145.110000,48.30,22.51
-37.848724,145.110000,11.70,11.26
-37.848721,145.111236,67.67,12.42
-37.852476,145.115793,36.69,18.15
-37.854519,145.115659,12.63,22.76
-37.852187,145.118870,19.50,12.44
-37.850249,145.111058,11.28,12.46
-37.852266,145.110000,90.49,19.90
-37.845233,145.116118,97.22,10.77
-37.845247,145.114715,34.44,18.19
-37.854622,145.111922,47.38,10.48
-37.849089,145.112703,41.69,16.58
-37.851629,145.118645,82.35,21.15
-37.851597,145.118330,38.82,11.76
-37.852355,145.112747,60.06,11.23
-37.845000,145.117249,76.59,17.24
-37.847264,145.110000,3.26,15.36
-37.854646,145.113337,55.21,10.80
-37.853329,145.116260,31.21,24.52
-37.855000,145.111217,17.49,13.73
-37.855000,145.118287,13.54,21.12
-37.851540,145.113387,10.27,23.78
-37.845000,145.120000,8.82,19.72
-37.852283,145.110000,28.32,16.67
-37.845706,145.110000,50.47,17.87
-37.845000,145.110000,79.02,15.37
-37.855000,145.116252,56.08,13.81
-37.846494,145.120000,57.78,18.06
-37.853493,145.110000,62.01,23.26
-37.852574,145.116277,11.54,21.98
-37.850269,145.120000,61.20,15.17
-37.855000,145.110000,94.69,14.48
-37.853473,145.120000,95.15,16.71
-37.848790,145.110000,7.89,22.15
-37.845000,145.115944,82.76,22.14
-37.849820,145.117324,8.77,17.91
-37.850154,145.110884,38.26,20.34
-37.846946,145.117046,84.64,21.98
-37.847875,145.111191,60.43,19.30
-37.850881,145.118497,61.42,11.52
-37.852278,145.110549,25.72,21.21
-37.850311,145.112846,21.08,18.51
-37.849508,145.120000,62.16,17.18
-37.851435,145.116657,82.05,22.13
-37.851229,145.120000,66.91,12.19
-37.845326,145.116785,22.49,19.61
-37.852081,145.112924,82.19,11.01
-37.855000,145.118710,77.11,11.00
-37.852928,145.120000,25.19,11.01
-37.850388,145.119691,81.83,23.59
-37.852999,145.111518,58.61,20.32
-37.855000,145.120000,51.31,22.62
-37.850405,145.116912,7.96,12.77
-37.845000,145.118595,26.84,10.06
-37.851605,145.120000,8.39,14.48
-37.855000,145.120000,7.25,23.84
-37.855000,145.110000,70.36,18.32
-37.845000,145.115314,13.82,18.62
-37.850814,145.120000,48.04,18.52
-37.846506,145.120000,40.18,24.10
-37.851990,145.113422,62.67,21.71
-37.845000,145.119011,99.07,14.91
-37.845000,145.119627,1.41,21.95
-37.847967,145.120000,54.85,15.28
-37.852132,145.116067,66.64,10.51
-37.845000,145.118974,57.20,20.96
-37.845569,145.120000,30.95,11.90
-37.847375,145.118920,63.22,14.98
-37.852973,145.112946,62.87,19.91
-37.846910,145.115693,9.73,24.96
-37.846391,145.114980,38.74,18.87
-37.845000,145.112128,79.24,15.64
-37.845768,145.120000,21.03,20.27
-37.855000,145.116685,43.11,20.87
-37.845000,145.117168,51.75,19.66
-37.847736,145.119892,1.56,15.24
-37.845000,145.115425,53.44,13.65
-37.851165,145.119273,64.92,11.22
-37.845000,145.110000,61.32,18.40
-37.855000,145.117498,52.38,12.33
-37.848019,145.110000,44.71,11.15
-37.851724,145.114636,26.33,24.37
-37.852616,145.112874,81.69,22.05
-37.849452,145.118717,28.06,15.27
-37.845000,145.119711,86.62,17.41
-37.851235,145.110000,74.02,11.23
-37.852990,145.111784,66.03,24.76
-37.846591,145.116676,45.01,14.44
-37.853420,145.110000,95.69,11.82
-37.850819,145.120000,94.17,12.29
-37.849528,145.115099,33.80,10.67
-37.855000,145.110962,2.62,16.63
-37.847076,145.115984,19.56,21.79
-37.855000,145.110802,69.08,10.07
-37.855000,145.110000,13.22,10.38
-37.854975,145.110000,4.58,22.38
-37.855000,145.110000,99.06,19.19
-37.855000,145.110000,51.92,22.51
-37.845599,145.111729,8.89,12.08
-37.848030,145.113162,30.63,10.44
-37.849661,145.110000,23.44,18.84
-37.855000,145.112396,73.63,14.52
-37.855000,145.110000,9.06,24.79
-37.846726,145.110000,18.62,13.04
-37.855000,145.110000,15.20,17.69
-37.855000,145.110999,32.77,11.02
-37.848388,145.114590,93.07,23.70
-37.852863,145.112084,73.45,12.43
-37.850730,145.110000,56.35,17.33
-37.850869,145.110000,54.13,22.29
-37.847838,145.110000,2.35,24.25
-37.851415,145.112084,46.27,18.49
-37.851089,145.117482,36.91,15.18
-37.855000,145.114078,26.40,20.03
-37.852287,145.110879,16.47,15.71
-37.853705,145.112842,29.24,14.79
-37.852572,145.117062,84.51,15.11
-37.853585,145.113437,11.53,12.42
-37.855000,145.118437,25.01,15.50
-37.846953,145.111538,21.75,10.41
-37.855000,145.120000,96.85,11.51
-37.853915,145.116859,70.59,11.99
-37.849031,145.110000,80.47,22.75
-37.854313,145.110000,34.04,21.74
-37.848991,145.115130,41.70,18.10
-37.848807,145.113993,74.08,24.69
-37.850728,145.110000,96.67,11.02
-37.854856,145.120000,44.15,10.19
-37.854743,145.110000,49.37,12.21
-37.850510,145.117356,30.35,20.46
-37.849542,145.116713,96.45,10.14
-37.853257,145.112328,43.28,17.73
-37.851693,145.110000,39.68,13.13
-37.851308,145.120000,48.24,11.50
-37.854329,145.120000,43.82,20.77
-37.851377,145.120000,54.28,16.79
-37.855000,145.116936,16.06,16.85
-37.854172,145.113509,79.22,11.99
-37.845415,145.118549,11.04,10.67
-37.855000,145.110000,12.00,16.18
-37.846872,145.120000,12.96,20.38
-37.855000,145.110780,20.48,18.13
-37.852157,145.113767,78.15,14.76
-37.850076,145.116204,19.39,18.31
-37.845000,145.117045,83.05,17.11
-37.851518,145.110000,3.68,24.45
-37.845000,145.117267,95.54,23.34
-37.851476,145.120000,83.40,17.20
-37.845000,145.117480,67.43,15.12
-37.855000,145.112649,67.19,10.32
-37.852644,145.116605,73.69,11.43
-37.855000,145.113333,14.55,18.80
-37.847011,145.119045,97.17,13.89
-37.847792,145.113972,87.40,12.54
-37.845000,145.117057,3.42,20.78
-37.846927,145.113133,45.59,12.86
-37.851613,145.113615,52.49,16.22
-37.851626,145.115327,41.33,20.93
-37.852264,145.113717,82.86,17.81
-37.845211,145.118489,6.81,18.14
-37.845902,145.111289,21.03,14.42
-37.853242,145.113654,54.79,15.88
-37.846364,145.119058,87.11,23.61
-37.848397,145.110580,76.55,21.54
-37.846501,145.117949,96.91,23.05
-37.846612,145.117283,67.10,24.53
-37.846869,145.119095,34.44,10.87
-37.848448,145.114217,1.91,14.87
-37.855000,145.116724,78.26,24.00
-37.851985,145.110000,73.04,19.86
-37.848540,145.118659,55.94,21.72
-37.846663,145.117878,23.87,15.18
-37.845884,145.113601,37.80,13.51
-37.851219,145.114396,78.23,11.89
-37.855000,145.115330,62.97,16.03
-37.848869,145.115668,11.94,10.05
-37.851687,145.111114,50.85,14.32
-37.851914,145.110000,19.14,22.28
-37.846312,145.120000,22.70,14.18
-37.846164,145.115522,30.83,14.66
-37.845000,145.118011,72.77,19.74
-37.847743,145.118357,97.53,14.50
-37.850573,145.110000,60.15,21.34
-37.853544,145.113996,6.75,12.12
-37.851130,145.114753,17.83,17.61
-37.855000,145.111466,84.46,10.45
-37.854372,145.112273,87.90,23.62
-37.845000,145.116444,27.55,21.21
-37.850461,145.110000,0.09,10.13
-37.845000,145.116314,57.19,15.91
-37.845593,145.112043,28.60,23.61
-37.849190,145.117907,60.23,18.57
-37.848410,145.115591,76.34,22.97
-37.853941,145.116163,67.31,18.98
-37.854367,145.117156,39.70,19.24
-37.848278,145.110000,51.50,15.76
-37.848829,145.111170,76.71,22.27
-37.845224,145.116885,8.15,20.48
-37.855000,145.118922,93.68,21.28
-37.855000,145.115026,51.75,14.03
-37.845893,145.113659,50.62,12.18
-37.850934,145.119701,25.43,22.16
-37.845000,145.113709,70.73,12.51
-37.854767,145.120000,1.14,17.56
-37.845000,145.119591,34.35,18.83
-37.847948,145.118446,96.98,12.05
-37.845760,145.115216,5.60,13.67
-37.846347,145.117935,47.58,23.67
-37.851531,145.120000,84.03,10.12
-37.847016,145.119586,0.98,11.91
-37.846115,145.120000,49.90,21.03
-37.848393,145.116680,48.22,19.16
-37.847192,145.116799,33.55,23.48
-37.849867,145.120000,60.77,14.34
-37.846602,145.118223,62.98,11.19
-37.845000,145.120000,3.17,22.38
-37.848977,145.120000,47.84,19.15
-37.850104,145.119896,19.28,18.82
-37.848368,145.120000,14.09,10.88
-37.847396,145.114697,4.32,10.34
-37.849751,145.120000,45.83,10.40
-37.845768,145.120000,64.91,15.28
-37.845000,145.117624,99.99,19.56
-37.846021,145.120000,21.22,16.28
-37.852903,145.118637,5.72,16.89
-37.845000,145.119160,1.33,12.57
-37.849627,145.115365,70.81,18.38
-37.851622,145.116425,21.02,21.38
-37.847122,145.119603,35.22,22.57
-37.845133,145.120000,64.82,21.12
-37.845000,145.115879,40.09,17.31
-37.846648,145.116160,98.57,13.47
-37.850902,145.114986,91.22,15.55
-37.847508,145.116190,98.96,21.53
-37.853287,145.119466,18.30,15.92
-37.845000,145.119038,20.65,17.55
-37.853789,145.120000,19.47,23.12
-37.845000,145.111695,21.39,23.87
-37.851772,145.119696,55.52,13.91
-37.852013,145.119955,9.33,19.80
-37.845000,145.120000,24.68,12.83
-37.845000,145.110000,30.14,17.06
-37.851794,145.117433,21.22,18.47
-37.855000,145.115854,15.98,23.37
-37.848464,145.120000,1.22,16.87
-37.848744,145.117881,74.06,23.66
-37.845000,145.113453,98.25,16.30
-37.851965,145.116179,1.13,11.59
-37.852481,145.114179,99.22,15.17
-37.855000,145.120000,78.29,20.88
-37.849069,145.118510,36.91,13.54
-37.855000,145.117091,78.81,11.91
-37.845000,145.113391,19.48,20.18
-37.855000,145.116541,62.23,20.92
